[2026-05-05 14:06:00,299] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for SBIN: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:00,345] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for GAIL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:00,382] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for CEIGALL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:00,458] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for CAPLIPOINT: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:00,496] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for COROMANDEL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:00,535] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for CONCORDBIO: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:00,635] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for INDIANB: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:00,678] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for HCLTECH: {'SELL': [], 'BUY': ['RULE_SET_7'], 'HOLD': ['RULE_SET_2']}
[2026-05-05 14:06:00,731] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for HEG: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:00,772] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for GRANULES: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:00,811] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for VEDL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:00,859] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for SCI: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:00,923] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for CMPDI: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:00,970] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for ELECON: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:01,040] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for DLF: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:01,103] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for IDBI: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:01,154] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for M&M: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:01,213] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for IMFA: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:01,260] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for SBIN: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
[2026-05-05 14:06:01,300] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for GODFRYPHLP: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_7', 'RULE_SET_2']}
[2026-05-05 14:06:01,346] {utils.py apply_trading_rules:717 MainThread} INFO - Decisions for GAIL: {'SELL': [], 'BUY': [], 'HOLD': ['RULE_SET_2', 'RULE_SET_7']}
